 ,Diện tích cây lương thực có hạt,Sản lượng cây lương thực có hạt,Sản lượng lương thực có hạt bình quân đầu người,Diện tích lúa,Năng suất lúa,Sản lượng lúa,Diện tích lúa đông xuân,Năng suất lúa đông xuân,Sản lượng lúa đông xuân,Diện tích lúa hè thu và thu đông,Năng suất lúa hè thu và thu đông,Sản lượng lúa hè thu và thu đông,Diện tích lúa mùa,Năng suất lúa mùa,Sản lượng lúa mùa,Diện tích ngô,Năng suất ngô,Sản lượng ngô,Diện tích khoai,Sản lượng khoai,Diện tích sắn,Sản lượng sắn,Năm
CẢ NƯỚC,8806.8,47852.2,510.8,7705.2,55.5,42738.9,3117.1,62.3,19415.8,2876.7,53.7,15461.2,1711.4,45.9,7861.9,1099.5,46.5,5109.6,121.8,1352.8,532.6,10267.7,2017
Ðồng bằng sông Hồng,1159.0,6514.0,305.2,1071.4,56.8,6083.3,536.2,65.9,3533.8,,,,535.2,47.6,2549.5,87.5,49.2,430.3,17.4,169.9,,,2017
Hà Nội,209.0,1145.5,154.4,189.9,55.4,1051.1,96.9,61.3,594.4,,,,93.0,49.1,456.7,19.1,49.4,94.4,3.2,33.4,1.2,22.9,2017
Vĩnh Phúc,73.0,385.8,357.4,57.9,55.3,320.3,31.3,61.1,191.1,,,,26.6,48.6,129.2,15.1,43.4,65.5,2.1,21.6,,,2017
Bắc Ninh,71.5,427.3,351.6,69.1,60.0,414.9,34.9,64.4,224.9,,,,34.2,55.6,190.0,2.4,51.7,12.4,0.2,2.5,,,2017
Quảng Ninh,47.3,219.3,176.1,41.6,47.1,195.9,16.5,54.8,90.4,,,,25.1,42.0,105.5,5.7,40.9,23.3,3.5,21.0,,,2017
Hải Dương,122.4,681.2,379.0,118.2,55.7,657.9,59.4,65.1,386.5,,,,58.8,46.2,271.4,4.2,55.5,23.3,0.9,8.7,,,2017
Hải Phòng,73.3,442.0,221.3,72.3,60.4,436.7,35.1,69.5,243.8,,,,37.2,51.9,192.9,1.0,53.0,5.3,0.7,7.8,,,2017
Hưng Yên,78.2,464.6,395.0,70.4,59.5,418.6,35.4,65.9,233.2,,,,35.0,53.0,185.4,7.8,59.0,46.0,0.5,7.6,,,2017
Thái Bình,171.9,1013.7,565.8,158.7,59.4,942.6,79.1,71.7,566.8,,,,79.6,47.2,375.8,13.1,54.1,70.9,2.9,35.4,,,2017
Hà Nam,72.8,411.7,511.0,64.5,56.8,366.4,32.0,66.8,213.6,,,,32.5,47.0,152.8,8.3,54.6,45.3,0.5,6.1,,,2017
Nam Ðịnh,155.8,863.7,466.0,151.1,55.7,841.9,74.5,69.4,517.3,,,,76.6,42.4,324.6,4.7,46.2,21.7,1.4,13.2,,,2017
Ninh Bình,83.8,459.2,477.4,77.7,56.2,437.0,41.1,66.1,271.8,,,,36.6,45.1,165.2,6.1,36.4,22.2,1.5,12.6,,,2017
Trung du và miền núi phía Bắc,1170.9,5236.7,431.1,679.8,49.1,3336.4,250.3,57.5,1439.7,,,,429.5,44.2,1896.7,490.1,38.8,1899.9,31.4,216.4,,,2017
Hà Giang,92.1,397.9,477.3,37.5,56.4,211.4,9.2,57.2,52.6,,,,28.3,56.1,158.8,53.7,34.7,186.1,2.0,10.2,5.0,41.2,2017
Cao Bằng,70.7,276.5,516.5,30.4,43.7,132.7,3.6,50.6,18.2,,,,26.8,42.7,114.5,40.2,35.8,143.8,1.4,7.8,2.9,43.1,2017
Bắc Kạn,39.8,176.3,545.4,24.0,46.8,112.3,9.0,54.9,49.4,,,,15.0,41.9,62.9,15.8,40.5,64.0,0.5,2.4,1.8,19.5,2017
Tuyên Quang,63.7,344.5,445.4,45.1,58.3,262.9,19.8,59.8,118.4,,,,25.3,57.1,144.5,18.6,43.9,81.6,3.2,19.8,3.9,52.1,2017
Lào Cai,70.4,305.4,439.8,32.3,49.2,158.8,10.1,57.8,58.4,,,,22.2,45.2,100.4,38.1,38.5,146.6,1.2,7.3,8.4,111.5,2017
Yên Bái,70.7,306.0,379.0,42.5,49.8,211.5,19.6,54.7,107.3,,,,22.9,45.5,104.2,28.2,33.5,94.5,3.1,17.1,12.7,246.7,2017
Thái Nguyên,88.9,458.8,365.6,71.1,53.4,379.4,30.3,55.6,168.5,,,,40.8,51.7,210.9,17.8,44.6,79.4,4.3,27.9,2.9,43.3,2017
Lạng Sơn,70.8,311.1,398.9,49.5,41.6,205.9,15.7,52.0,81.6,,,,33.8,36.8,124.3,21.3,49.4,105.2,2.2,13.7,2.8,28.0,2017
Bắc Giang,117.5,652.2,389.5,106.8,57.0,609.2,51.8,60.4,312.8,,,,55.0,53.9,296.4,10.7,40.2,43.0,5.5,60.7,3.5,52.3,2017
Phú Thọ,85.3,454.9,326.6,67.1,54.8,367.9,37.0,59.9,221.7,,,,30.1,48.6,146.2,18.2,47.8,87.0,2.0,13.1,7.7,107.7,2017
Ðiện Biên,80.8,258.2,455.4,50.2,35.5,178.1,9.1,58.5,53.2,,,,41.1,30.4,124.9,30.6,26.2,80.1,0.6,6.9,,,2017
Lai Châu,55.0,218.7,490.3,32.9,44.3,145.7,6.7,53.7,36.0,,,,26.2,41.9,109.7,22.1,33.0,73.0,0.3,1.7,4.5,37.7,2017
Sơn La,189.1,741.8,605.1,51.0,35.3,180.0,12.1,57.6,69.7,,,,38.9,28.4,110.3,138.1,40.7,561.8,0.3,2.0,32.2,377.4,2017
Hoà Bình,76.1,334.4,398.6,39.4,45.8,180.6,16.3,56.4,91.9,,,,23.1,38.4,88.7,36.7,41.9,153.8,4.8,25.8,10.0,129.9,2017
Bắc Trung Bộ và Duyên hải miền Trung,1453.9,7913.2,397.1,1253.4,55.8,6997.9,587.7,61.1,3590.1,360.1,54.2,1951.4,305.6,47.7,1456.4,200.2,45.7,914.4,30.2,201.8,,,2017
Thanh Hoá,301.0,1688.4,476.4,250.5,58.4,1463.3,122.2,65.0,794.6,,,,128.3,52.1,668.7,50.5,44.6,225.1,7.5,53.5,15.1,223.2,2017
Nghệ An,244.6,1257.1,401.5,188.6,53.8,1015.1,92.1,65.9,606.7,59.5,48.7,289.8,37.0,32.1,118.6,56.0,43.2,241.9,4.1,26.4,15.5,345.4,2017
Hà Tĩnh,111.8,471.2,370.4,104.1,42.5,442.8,58.9,41.1,241.9,44.5,44.9,199.8,0.7,15.7,1.1,7.7,36.9,28.4,4.2,27.3,2.9,40.5,2017
Quảng Bình,60.4,310.5,351.8,55.4,51.4,284.7,30.0,61.5,184.5,24.8,40.2,99.8,0.6,6.7,0.4,4.9,51.8,25.4,3.5,25.5,6.4,118.7,2017
Quảng Trị,54.5,257.4,410.3,50.3,48.4,243.4,25.8,56.7,146.2,22.5,42.3,95.2,2.0,10.0,2.0,4.2,33.3,14.0,2.5,19.2,12.3,207.4,2017
Thừa Thiên Huế,56.6,334.1,289.4,54.9,59.6,327.4,28.6,62.3,178.3,25.6,57.8,148.0,0.7,15.7,1.1,1.7,39.4,6.7,2.7,12.9,6.7,127.2,2017
Ðà Nẵng,5.6,33.8,31.8,5.2,60.4,31.4,2.8,62.5,17.5,..,..,..,2.4,57.9,13.9,0.4,60.0,2.4,0.3,2.1,,,2017
Quảng Nam,99.4,520.0,348.1,86.8,53.1,461.1,42.7,56.4,240.8,..,..,..,44.1,50.0,220.3,12.6,46.7,58.9,3.6,23.1,11.7,207.2,2017
Quảng Ngãi,86.1,499.7,395.4,75.5,58.1,438.8,38.8,59.5,231.0,34.3,58.6,201.0,2.4,28.3,6.8,10.6,57.5,60.9,0.4,2.5,18.4,353.4,2017
Bình Ðịnh,113.3,715.4,467.9,105.1,63.4,666.4,47.3,67.7,320.4,43.6,64.3,280.3,14.2,46.3,65.7,8.2,59.8,49.0,0.3,1.5,,306.3,2017
Phú Yên,62.4,396.8,438.7,56.9,65.8,374.4,26.8,69.1,185.1,24.9,68.8,171.3,5.2,34.6,18.0,5.5,40.7,22.4,0.1,0.9,23.1,502.5,2017
Khánh Hoà,54.1,268.7,219.9,47.5,53.6,254.7,20.0,59.6,119.2,18.5,57.4,106.1,9.0,32.7,29.4,6.6,21.2,14.0,0.2,1.0,4.9,84.8,2017
Ninh Thuận,61.5,327.7,539.9,48.4,57.1,276.6,16.7,63.2,105.6,17.0,59.1,100.4,14.7,48.0,70.6,12.9,39.3,50.7,0.3,2.8,,,2017
Bình Thuận,142.6,832.4,676.5,124.2,57.8,717.8,35.0,62.4,218.3,44.9,57.8,259.7,44.3,54.1,239.8,18.4,62.3,114.6,0.5,3.1,28.2,477.9,2017
Tây Nguyên,460.4,2539.3,439.2,243.4,54.1,1315.6,86.5,61.3,529.9,6.1,52.8,32.2,150.8,50.0,753.5,216.4,56.5,1221.9,17.8,213.2,,,2017
Kon Tum,30.6,117.2,225.4,24.0,38.0,91.1,7.1,46.3,32.9,,,,16.9,34.4,58.2,6.2,40.2,24.9,0.2,1.3,38.6,576.5,2017
Gia Lai,122.0,566.4,394.0,74.6,47.6,354.9,25.0,56.4,140.9,,,,49.6,43.1,214.0,47.4,44.6,211.5,2.6,22.7,65.8,1249.9,2017
Ðắk Lắk,201.8,1238.5,653.0,101.5,63.4,643.5,39.6,69.7,275.9,,,,61.9,59.4,367.6,100.3,59.3,595.0,5.8,69.7,,,2017
Ðắk Nông,63.6,399.9,636.7,13.0,57.4,74.6,4.9,60.0,29.4,,,,8.1,55.8,45.2,50.5,64.4,325.0,7.0,87.1,,,2017
Lâm Ðồng,42.4,217.3,167.3,30.3,50.0,151.5,9.9,51.3,50.8,6.1,52.8,32.2,14.3,47.9,68.5,12.0,54.6,65.5,2.2,32.4,,..,2017
Ðông Nam Bộ,342.2,1839.7,109.9,271.9,51.4,1396.7,77.3,56.8,439.1,88.6,50.9,450.9,106.0,47.8,506.7,70.2,63.1,442.9,1.4,9.1,,,2017
Bình Phước,16.8,56.8,58.6,12.2,32.5,39.6,3.3,32.7,10.8,,,,8.9,32.4,28.8,4.5,38.0,17.1,0.7,3.2,15.9,378.7,2017
Tây Ninh,152.8,816.6,725.1,147.9,53.3,788.9,44.6,57.9,258.1,50.4,52.6,264.9,52.9,50.3,265.9,4.9,56.5,27.7,0.0,0.2,55.9,1819.8,2017
Bình Dương,7.6,31.4,15.2,7.2,42.5,30.6,2.3,48.7,11.2,1.5,40.0,6.0,3.4,39.4,13.4,0.4,20.0,0.8,0.2,1.4,4.7,87.1,2017
Ðồng Nai,106.9,660.8,218.3,60.7,54.2,329.1,15.0,61.5,92.2,22.0,51.5,113.3,23.7,52.2,123.6,46.2,71.8,331.7,0.3,3.3,,415.0,2017
Bà Rịa - Vũng Tàu,38.5,185.9,168.7,24.8,49.2,122.1,6.7,60.1,40.3,8.6,45.6,39.2,9.5,44.8,42.6,13.7,46.6,63.8,0.2,0.7,8.5,211.3,2017
TP.Hồ Chí Minh,19.6,88.2,10.4,19.1,45.2,86.4,5.4,49.1,26.5,6.1,45.1,27.5,7.6,42.6,32.4,0.5,36.0,1.8,0.0,0.3,,,2017
Ðồng bằng sông Cửu Long,4220.4,23809.3,1342.3,4185.3,56.4,23609.0,1579.1,62.6,9883.2,2421.9,53.8,13026.7,184.3,37.9,699.1,35.1,57.0,200.2,23.6,542.4,,,2017
Long An,528.1,2652.2,1771.9,526.7,50.2,2643.2,234.2,55.9,1310.0,290.3,45.7,1327.0,2.2,28.2,6.2,1.4,64.3,9.0,0.1,0.7,1.6,24.6,2017
Tiền Giang,215.3,1265.5,722.4,210.8,59.3,1249.3,71.6,65.7,470.5,139.2,55.9,778.8,..,..,..,4.5,35.8,16.1,0.4,6.6,,,2017
Bến Tre,55.5,229.3,181.0,54.9,41.4,227.2,15.7,44.2,69.4,30.8,41.6,128.0,8.4,35.5,29.8,0.6,35.0,2.1,0.1,0.5,,..,2017
Trà Vinh,224.4,1159.6,1109.1,220.2,51.7,1137.4,59.9,59.0,353.3,157.9,49.0,773.4,2.4,44.6,10.7,4.2,52.9,22.2,1.2,19.0,,,2017
Vĩnh Long,170.8,945.9,900.7,169.4,55.6,942.5,59.0,60.0,354.1,110.4,53.3,588.4,..,..,..,1.4,24.3,3.4,13.8,358.0,0.2,2.8,2017
Ðồng Tháp,543.5,3248.7,1921.9,538.3,59.6,3206.8,208.9,60.0,1254.4,329.4,59.3,1952.4,..,..,..,5.2,80.6,41.9,3.8,94.3,,,2017
An Giang,649.4,3942.7,1823.9,641.1,60.5,3879.6,236.2,70.3,1660.4,399.9,55.1,2202.0,5.0,34.4,17.2,8.3,76.0,63.1,0.3,4.8,1.4,28.5,2017
Kiên Giang,735.6,4060.5,2265.2,735.3,55.2,4058.8,298.8,60.2,1799.7,389.1,54.6,2122.7,47.4,28.8,136.4,0.3,56.7,1.7,1.5,32.1,0.7,18.8,2017
Cần Thơ,241.2,1392.8,1094.3,240.1,57.8,1387.2,85.4,65.2,556.7,154.7,53.7,830.5,..,..,..,1.1,50.9,5.6,0.0,0.1,,,2017
Hậu Giang,209.8,1276.1,1647.4,206.6,61.0,1261.0,77.9,68.2,531.5,128.7,56.7,729.5,..,..,..,3.2,47.2,15.1,0.1,2.4,,,2017
Sóc Trăng,352.4,2122.0,1614.6,348.2,60.5,2105.1,183.9,64.5,1186.0,151.8,56.3,855.1,12.5,51.2,64.0,4.2,40.2,16.9,1.6,20.0,,,2017
Bạc Liêu,180.8,1065.7,1191.7,180.6,59.0,1064.9,46.3,72.0,333.3,103.0,56.6,582.6,31.3,47.6,149.0,0.2,40.0,0.8,0.5,3.0,,,2017
Cà Mau,113.6,448.3,365.6,113.1,39.4,446.0,1.3,30.0,3.9,36.7,42.6,156.3,75.1,38.1,285.8,0.5,46.0,2.3,0.2,0.9,,,2017
